timestamp,pressure,flow
2025-01-14T13:31:53.000Z,0.297,0.101
2025-01-14T13:31:54.000Z,0.297,0.096
2025-01-14T13:31:55.000Z,0.3,0.101
2025-01-14T13:31:56.000Z,0.297,0.096
2025-01-14T13:31:57.000Z,0.3,0.101
2025-01-14T13:31:58.000Z,0.299,0.096
2025-01-14T13:31:59.000Z,0.303,0.101
2025-01-14T13:32:00.000Z,0.305,0.101
2025-01-14T13:32:01.000Z,0.303,0.096
2025-01-14T13:32:02.000Z,0.302,0.101
2025-01-14T13:32:03.000Z,0.304,0.096
2025-01-14T13:32:04.000Z,0.294,0.096
2025-01-14T13:32:05.000Z,0.246,0.015
2025-01-14T13:32:06.000Z,0.205,0.0
2025-01-14T13:32:07.000Z,0.163,0.0
2025-01-14T13:32:08.000Z,0.114,0.0
2025-01-14T13:32:09.000Z,0.074,0.0
2025-01-14T13:32:10.000Z,0.04,0.0
2025-01-14T13:32:11.000Z,0.017,0.0
2025-01-14T13:32:12.000Z,0.017,0.0
2025-01-14T13:32:13.000Z,0.017,0.0
2025-01-14T13:32:14.000Z,0.017,0.0
2025-01-14T13:32:15.000Z,0.017,0.005
2025-01-14T13:32:16.000Z,0.017,0.0
2025-01-14T13:32:17.000Z,0.017,0.0
2025-01-14T13:32:18.000Z,0.017,0.0
2025-01-14T13:32:19.000Z,0.017,0.0
2025-01-14T13:32:20.000Z,0.017,0.0
2025-01-14T13:32:21.000Z,0.017,0.0
2025-01-14T13:32:22.000Z,0.017,0.0
2025-01-14T13:32:23.000Z,0.017,0.0
2025-01-14T13:32:24.000Z,0.017,0.0
2025-01-14T13:32:25.000Z,0.017,0.0
2025-01-14T13:32:26.000Z,0.017,0.0
2025-01-14T13:32:27.000Z,0.017,0.0
2025-01-14T13:32:28.000Z,0.017,0.0
2025-01-14T13:32:29.000Z,0.017,0.0
2025-01-14T13:32:30.000Z,0.017,0.0
2025-01-14T13:32:31.000Z,0.017,0.0
2025-01-14T13:32:32.000Z,0.017,0.0
2025-01-14T13:32:33.000Z,0.017,0.0
2025-01-14T13:32:34.000Z,0.017,0.0
2025-01-14T13:32:35.000Z,0.017,0.0
2025-01-14T13:32:36.000Z,0.017,0.0
2025-01-14T13:32:37.000Z,0.017,0.0
2025-01-14T13:32:38.000Z,0.017,0.0
2025-01-14T13:32:40.000Z,0.017,0.0
2025-01-14T13:32:41.000Z,0.017,0.0
2025-01-14T13:32:42.000Z,0.017,0.0
2025-01-14T13:32:43.000Z,0.017,0.0
2025-01-14T13:32:44.000Z,0.017,0.0
2025-01-14T13:32:45.000Z,0.017,0.0
2025-01-14T13:32:46.000Z,0.017,0.0
2025-01-14T13:32:47.000Z,0.017,0.0
2025-01-14T13:32:48.000Z,0.017,0.0
2025-01-14T13:32:49.000Z,0.017,0.0
